	sample	Lane	name
0	030A	1	030_A
1	030B	1	030_B
2	031A	1	031_A
3	031B	1	031_B
4	029A	1	029_A
5	029B	1	029_B
6	021A	1	021_A
7	021B	1	021_B
8	033A	1	033_A
9	033B	1	033_B
10	034A	1	034_A
11	034B	1	034_B
12	035A	1	035_A
13	035B	1	035_B
14	036A	1	036_A
15	036B	1	036_B
16	045A	2	045_A
17	045B	2	045_B
18	046A	2	046_A
19	046B	2	046_B
20	039A	2	039_A
21	039B	2	039_B
22	040A	2	040_A
23	040B	2	040_B
24	041A	2	041_A
25	041B	2	041_B
26	042A	2	042_A
27	042B	2	042_B
28	043A	2	043_A
29	043B	2	043_B
30	044A	2	044_A
31	044B	2	044_B